country,Hourly Wage in $,year,wage
MAR,2.0,2024,
MCO,138.46,2024,
MDA,3.64,2024,
MDE,,,
MDG,0.26,2024,
MDV,6.43,2024,
MEA,3.01,2024,
MEX,6.82,2024,
MHL,3.71,2024,
MIC,3.15,2024,
MKD,4.47,2024,
MLI,0.53,2024,
MLT,21.11,2024,
MMR,0.65,2024,
MNA,1.43,2024,
MNE,6.38,2024,
MNG,3.25,2024,
MNP,11.44,2022,
MOZ,0.32,2024,
MRT,1.01,2024,
MUS,5.76,2024,
MWI,0.25,2024,
MYS,5.71,2024,
NAC,39.07,2024,
NAF,,,
NAM,2.12,2024,
NCL,14.04,2024,
NER,0.35,2024,
NGA,0.52,2024,
NIC,1.37,2024,
NLD,32.46,2024,
NOR,41.72,2024,
NPL,0.7,2024,
NRS,,,
NRU,6.54,2024,
NXS,,,
NZL,23.66,2024,
OED,23.23,2024,
OMN,9.75,2024,
OSS,7.74,2024,
PAK,0.71,2024,
PAN,9.21,2024,
PER,4.06,2024,
PHL,1.92,2024,
PLW,7.51,2023,
PNG,1.45,2024,
POL,12.07,2024,
PRE,0.66,2024,
PRI,18.92,2024,
PRK,,,
PRT,14.08,2024,
PRY,3.08,2024,
PSE,1.25,2024,
PSS,2.14,2024,
PST,26.75,2024,
PYF,10.79,2024,
QAT,36.87,2024,
ROU,9.65,2024,
RRS,,,
RUS,7.16,2024,
RWA,0.48,2024,
SAS,1.29,2024,
SAU,16.89,2024,
SDN,0.47,2024,
SEN,0.85,2024,
SGP,43.59,2024,
SLB,0.93,2024,
SLE,0.39,2024,
SLV,2.68,2024,
SMR,28.79,2023,
SOM,0.3,2024,
SRB,6.58,2024,
SSA,0.76,2024,
SSD,0.52,2015,
SSF,0.74,2024,
SST,7.4,2024,
STP,1.68,2024,
SUR,3.35,2024,
SVK,12.5,2024,
SVN,16.49,2024,
SWE,27.46,2024,
SWZ,1.88,2024,
SXM,19.94,2024,
SXZ,,,
SYC,8.59,2024,
SYR,0.51,2022,
TCA,18.03,2024,
TCD,0.46,2024,
TEA,5.05,2024,
TEC,6.41,2024,
TGO,0.54,2024,
THA,3.53,2024,
TJK,0.64,2024,
TKM,3.3,2024,
TLA,5.04,2024,
TLS,0.64,2024,
TMN,1.43,2024,
TON,2.72,2023,
TSA,1.29,2024,
TSS,0.74,2024,
TTO,9.01,2024,
TUN,2.01,2024,
TUR,7.64,2024,
TUV,3.05,2023,
TZA,0.57,2024,
UGA,0.52,2024,
UKR,2.59,2024,
UMC,5.29,2024,
URY,11.49,2024,
USA,40.64,2024,
UZB,1.52,2024,
VCT,5.53,2024,
VEN,2.03,2024,
VGB,,,
VIR,21.31,2022,
VNM,2.27,2024,
VUT,1.64,2024,
WLD,6.55,2024,
WSM,2.59,2024,
XKX,3.38,2024,
XZN,,,
YEM,0.3,2018,
ZAF,3.01,2024,
ZMB,0.57,2024,
ZWE,1.2,2024,
